user_id,session_id,date,gender,age,location,membership_status,returning_customer,device_type,browser,time_of_day,time_spent_minutes,pages_viewed,scroll_depth,clicks,traffic_source,ad_campaign,coupon_used,discount_applied,product_category,wishlist_items,cart_items,avg_session_value,payment_method,purchase
45,4547,2023-01-02 20:00:00,Female,38,Germany,Guest,0,Mobile,Chrome,Afternoon,48,17,91,24,Organic,None,1,0,Beauty,8,0,95.8,COD,1
46,3747,2023-01-02 21:00:00,Male,61,Australia,Registered,1,Mobile,Chrome,Morning,40,13,89,11,Direct,Campaign_A,1,0,Sports,9,0,338.5,Credit Card,0
47,1975,2023-01-02 22:00:00,Other,49,Germany,Registered,0,Mobile,Chrome,Evening,17,19,61,17,Organic,Campaign_A,1,0,Electronics,0,2,458.19,UPI,1
48,2806,2023-01-02 23:00:00,Female,63,Germany,Registered,0,Desktop,Safari,Afternoon,40,12,25,37,Organic,None,0,0,Sports,6,4,165.34,COD,1
49,1189,2023-01-03 00:00:00,Male,38,Canada,Premium,0,Mobile,Safari,Evening,7,16,86,13,Ads,Campaign_B,0,1,Sports,6,3,450.7,Debit Card,1
50,4005,2023-01-03 01:00:00,Male,52,Germany,Registered,0,Mobile,Safari,Morning,57,5,67,27,Direct,None,0,1,Sports,3,7,255.18,Debit Card,1
51,3734,2023-01-03 02:00:00,Male,49,Australia,Premium,1,Mobile,Chrome,Night,8,16,18,20,Direct,None,0,0,Sports,0,3,161.82,Credit Card,0
52,4005,2023-01-03 03:00:00,Male,47,Australia,Premium,0,Desktop,Firefox,Evening,53,6,35,33,Referral,None,0,0,Clothing,2,1,448.77,UPI,1
53,1562,2023-01-03 04:00:00,Male,56,USA,Registered,1,Mobile,Firefox,Morning,56,11,37,42,Organic,Campaign_B,1,0,Sports,4,6,20.86,Debit Card,1
54,2899,2023-01-03 05:00:00,Male,29,Germany,Premium,1,Tablet,Firefox,Morning,31,17,86,32,Referral,None,1,0,Beauty,1,2,18.87,COD,0
55,4638,2023-01-03 06:00:00,Male,58,Canada,Registered,1,Desktop,Edge,Night,59,14,45,8,Social,Campaign_B,0,0,Sports,6,0,301.92,COD,0
56,2267,2023-01-03 07:00:00,Male,64,Germany,Guest,0,Mobile,Chrome,Night,58,6,18,29,Organic,None,0,0,Clothing,9,0,399.39,Debit Card,0
57,3879,2023-01-03 08:00:00,Female,35,UK,Registered,1,Mobile,Firefox,Morning,12,11,56,40,Social,Campaign_A,1,1,Books,9,2,377.02,UPI,1
58,2528,2023-01-03 09:00:00,Male,38,UK,Guest,0,Mobile,Firefox,Morning,48,12,87,19,Ads,Campaign_C,0,1,Clothing,6,5,44.34,Credit Card,0
59,4202,2023-01-03 10:00:00,Female,30,Canada,Registered,1,Mobile,Firefox,Evening,31,13,60,6,Organic,None,0,0,Beauty,9,3,475.37,UPI,0
60,4556,2023-01-03 11:00:00,Male,38,USA,Registered,1,Desktop,Chrome,Morning,44,4,85,44,Referral,Campaign_C,0,0,Beauty,4,0,353.02,NetBanking,0
61,4890,2023-01-03 12:00:00,Other,25,USA,Guest,0,Tablet,Firefox,Morning,19,7,66,39,Referral,Campaign_C,0,1,Home,9,6,474.81,Debit Card,1
62,1646,2023-01-03 13:00:00,Male,63,Australia,Guest,0,Mobile,Firefox,Evening,10,2,41,48,Organic,None,1,0,Clothing,5,1,167.9,NetBanking,0
63,3068,2023-01-03 14:00:00,Male,57,Australia,Premium,0,Mobile,Chrome,Afternoon,39,6,76,41,Referral,Campaign_C,0,1,Books,0,3,348.5,Debit Card,1
64,3888,2023-01-03 15:00:00,Other,63,India,Registered,0,Desktop,Edge,Evening,12,6,66,21,Organic,None,0,0,Home,3,4,430.67,Credit Card,1
65,3214,2023-01-03 16:00:00,Female,24,Canada,Guest,0,Desktop,Safari,Evening,20,18,63,22,Direct,Campaign_A,0,1,Home,3,7,193.33,UPI,0
66,2297,2023-01-03 17:00:00,Female,40,Germany,Registered,0,Mobile,Firefox,Night,37,8,25,42,Referral,None,1,1,Electronics,7,7,482.61,UPI,1
67,3435,2023-01-03 18:00:00,Male,61,Canada,Registered,0,Mobile,Safari,Evening,48,8,71,10,Organic,None,0,1,Sports,1,6,136.17,Debit Card,1
68,1600,2023-01-03 19:00:00,Male,49,India,Registered,0,Mobile,Edge,Morning,41,8,93,10,Organic,Campaign_C,0,0,Home,0,2,161.23,COD,0
69,3363,2023-01-03 20:00:00,Female,28,Australia,Premium,0,Desktop,Edge,Morning,7,8,65,29,Referral,Campaign_A,1,0,Home,6,3,460.56,NetBanking,1
70,3061,2023-01-03 21:00:00,Female,39,Canada,Registered,0,Mobile,Firefox,Morning,52,1,32,16,Direct,Campaign_C,1,0,Beauty,5,7,484.98,UPI,0
71,1241,2023-01-03 22:00:00,Female,39,Canada,Guest,0,Mobile,Chrome,Afternoon,54,2,26,1,Referral,Campaign_A,1,1,Books,4,4,146.17,UPI,0
72,3041,2023-01-03 23:00:00,Female,60,Australia,Premium,0,Tablet,Edge,Morning,58,12,89,17,Organic,Campaign_A,1,0,Home,7,1,72.51,Debit Card,1
73,3824,2023-01-04 00:00:00,Male,42,India,Premium,0,Desktop,Safari,Afternoon,14,15,47,30,Direct,None,0,0,Books,1,5,380.73,COD,1
74,4417,2023-01-04 01:00:00,Female,39,Australia,Guest,0,Desktop,Safari,Morning,11,4,81,26,Social,Campaign_A,0,0,Sports,1,7,465.18,NetBanking,0
75,3612,2023-01-04 02:00:00,Male,45,USA,Guest,1,Mobile,Safari,Evening,7,3,92,46,Ads,Campaign_A,0,0,Beauty,8,2,302.35,COD,1
76,3945,2023-01-04 03:00:00,Male,46,Germany,Guest,0,Mobile,Safari,Night,29,14,39,19,Referral,None,0,0,Electronics,0,5,319.09,COD,1
77,2363,2023-01-04 04:00:00,Male,30,Australia,Registered,0,Tablet,Edge,Morning,10,8,67,21,Organic,Campaign_A,1,0,Electronics,5,7,382.66,Debit Card,1
78,3139,2023-01-04 05:00:00,Female,35,India,Registered,0,Mobile,Firefox,Afternoon,29,13,87,17,Direct,Campaign_B,1,0,Sports,2,6,80.78,COD,1
79,2390,2023-01-04 06:00:00,Male,19,UK,Registered,1,Mobile,Firefox,Afternoon,9,19,31,46,Direct,Campaign_A,1,0,Sports,4,0,486.87,NetBanking,0
80,4003,2023-01-04 07:00:00,Male,46,USA,Premium,1,Mobile,Safari,Night,36,5,26,40,Social,Campaign_C,0,1,Beauty,7,5,185.34,Credit Card,1
81,2478,2023-01-04 08:00:00,Female,38,UK,Registered,1,Mobile,Firefox,Morning,48,13,24,21,Referral,None,1,1,Beauty,6,0,315.98,Credit Card,0
82,4499,2023-01-04 09:00:00,Male,32,Australia,Guest,1,Mobile,Safari,Evening,10,1,57,41,Direct,None,1,1,Clothing,3,6,236.96,NetBanking,0
83,3556,2023-01-04 10:00:00,Female,44,USA,Guest,0,Desktop,Safari,Morning,19,16,41,40,Social,Campaign_B,0,0,Home,7,7,236.75,Debit Card,1
84,1775,2023-01-04 11:00:00,Male,48,Germany,Registered,0,Tablet,Chrome,Morning,56,2,86,45,Organic,Campaign_A,1,1,Home,9,4,352.86,UPI,0
85,1034,2023-01-04 12:00:00,Female,32,Australia,Guest,0,Tablet,Edge,Night,31,7,94,49,Social,Campaign_A,0,0,Home,1,3,497.36,Debit Card,0
86,3253,2023-01-04 13:00:00,Female,40,Germany,Registered,1,Mobile,Edge,Morning,17,6,49,19,Referral,Campaign_C,0,0,Books,6,1,331.23,NetBanking,1
87,4152,2023-01-04 14:00:00,Male,41,Canada,Premium,1,Mobile,Safari,Evening,9,5,66,7,Social,None,0,0,Clothing,4,4,398.06,COD,0
88,2955,2023-01-04 15:00:00,Male,61,UK,Guest,1,Mobile,Edge,Afternoon,45,4,67,17,Direct,Campaign_B,0,0,Home,5,1,18.67,Credit Card,1
89,2585,2023-01-04 16:00:00,Male,30,USA,Registered,0,Desktop,Firefox,Night,33,2,25,1,Direct,Campaign_B,0,0,Books,2,5,406.16,COD,0
90,4943,2023-01-04 17:00:00,Male,39,Germany,Registered,1,Mobile,Safari,Evening,34,10,37,37,Ads,Campaign_A,0,1,Books,9,1,153.49,Debit Card,1
91,4459,2023-01-04 18:00:00,Other,60,India,Registered,0,Desktop,Chrome,Afternoon,45,5,10,6,Social,None,1,0,Electronics,6,5,67.72,NetBanking,0
92,4073,2023-01-04 19:00:00,Male,54,Germany,Guest,0,Desktop,Firefox,Night,24,18,50,26,Organic,None,0,0,Books,6,1,61.1,Credit Card,0
93,2021,2023-01-04 20:00:00,Female,50,India,Registered,0,Mobile,Chrome,Night,9,10,57,2,Referral,None,1,0,Sports,1,2,341.54,NetBanking,1
94,4461,2023-01-04 21:00:00,Male,20,Australia,Guest,0,Mobile,Chrome,Afternoon,7,15,40,32,Ads,None,0,0,Beauty,0,4,498.82,Credit Card,1
95,3613,2023-01-04 22:00:00,Female,36,USA,Premium,0,Tablet,Edge,Afternoon,16,9,45,48,Social,Campaign_C,0,0,Books,9,7,334.77,Credit Card,1
96,2129,2023-01-04 23:00:00,Female,40,Germany,Guest,1,Tablet,Edge,Evening,19,11,42,5,Organic,Campaign_A,0,0,Sports,1,7,134.86,Credit Card,0
97,4843,2023-01-05 00:00:00,Female,46,Germany,Registered,0,Mobile,Safari,Morning,39,17,42,37,Ads,Campaign_B,0,1,Sports,7,2,105.64,Debit Card,1
98,4893,2023-01-05 01:00:00,Male,47,USA,Registered,0,Mobile,Edge,Morning,6,9,91,31,Direct,None,0,0,Electronics,9,3,265.35,NetBanking,1
99,2500,2023-01-05 02:00:00,Male,56,Germany,Premium,0,Tablet,Chrome,Morning,50,16,32,12,Referral,None,0,0,Electronics,2,7,37.19,UPI,1
100,1702,2023-01-05 03:00:00,Male,61,India,Guest,0,Mobile,Chrome,Morning,51,6,69,35,Social,Campaign_C,0,1,Books,3,3,202.67,UPI,1
101,3449,2023-01-05 04:00:00,Female,64,Germany,Guest,1,Mobile,Firefox,Morning,11,11,96,30,Organic,None,0,1,Electronics,7,0,334.79,UPI,0
102,3777,2023-01-05 05:00:00,Female,42,UK,Guest,1,Mobile,Chrome,Evening,12,17,88,48,Direct,None,1,1,Electronics,2,7,483.99,NetBanking,1
103,2579,2023-01-05 06:00:00,Other,54,Australia,Guest,1,Mobile,Safari,Night,58,4,99,6,Ads,None,0,1,Beauty,5,0,215.7,COD,0
104,1161,2023-01-05 07:00:00,Male,64,Canada,Guest,1,Mobile,Safari,Evening,42,15,39,15,Referral,Campaign_C,0,0,Home,1,7,104.11,NetBanking,1
105,1201,2023-01-05 08:00:00,Female,25,India,Registered,1,Mobile,Edge,Evening,13,1,98,15,Ads,None,0,0,Books,2,7,409.59,Credit Card,1
106,2981,2023-01-05 09:00:00,Female,59,UK,Guest,0,Mobile,Edge,Evening,12,1,54,16,Ads,Campaign_B,0,1,Books,0,0,373.38,COD,0
107,1995,2023-01-05 10:00:00,Male,33,Australia,Guest,1,Mobile,Edge,Night,21,9,89,20,Organic,None,0,1,Books,8,6,430.55,Credit Card,1
108,3317,2023-01-05 11:00:00,Male,25,USA,Premium,0,Tablet,Safari,Evening,10,12,48,13,Direct,None,1,0,Electronics,3,3,111.29,Credit Card,0
109,4934,2023-01-05 12:00:00,Female,18,India,Guest,0,Desktop,Chrome,Evening,20,4,54,44,Social,Campaign_B,1,0,Beauty,5,1,205.39,NetBanking,1
110,1815,2023-01-05 13:00:00,Female,61,Canada,Guest,0,Desktop,Edge,Night,50,13,87,42,Organic,None,0,1,Electronics,6,5,490.87,UPI,1
111,4342,2023-01-05 14:00:00,Female,22,Australia,Guest,1,Desktop,Firefox,Evening,36,7,90,46,Referral,None,0,0,Sports,1,6,83.23,COD,1
112,1455,2023-01-05 15:00:00,Male,20,Canada,Premium,1,Mobile,Edge,Morning,28,8,21,31,Ads,Campaign_A,0,0,Clothing,7,1,337.37,Debit Card,1
113,4533,2023-01-05 16:00:00,Female,18,USA,Guest,0,Mobile,Safari,Afternoon,24,13,41,34,Referral,Campaign_C,1,0,Clothing,8,4,122.41,UPI,1
114,4798,2023-01-05 17:00:00,Male,21,USA,Premium,1,Tablet,Edge,Evening,5,11,65,29,Organic,Campaign_A,0,1,Clothing,9,3,252.58,Debit Card,1
115,2275,2023-01-05 18:00:00,Male,57,India,Registered,1,Mobile,Chrome,Afternoon,37,9,33,3,Organic,None,0,1,Home,1,7,401.25,NetBanking,1
116,2016,2023-01-05 19:00:00,Male,52,Germany,Guest,0,Mobile,Edge,Evening,12,16,22,9,Social,None,1,0,Electronics,4,7,246.85,COD,1
117,4773,2023-01-05 20:00:00,Female,49,USA,Premium,0,Desktop,Safari,Evening,58,10,29,11,Ads,Campaign_A,1,0,Sports,1,7,403.71,NetBanking,1
118,3343,2023-01-05 21:00:00,Female,59,Australia,Guest,1,Mobile,Safari,Morning,35,11,88,11,Organic,Campaign_A,1,0,Sports,4,5,216.04,Debit Card,1
119,4796,2023-01-05 22:00:00,Female,51,Germany,Guest,0,Mobile,Firefox,Night,40,12,65,25,Referral,Campaign_C,1,0,Clothing,6,5,499.68,Credit Card,1
120,3767,2023-01-05 23:00:00,Male,60,UK,Premium,1,Tablet,Safari,Afternoon,54,14,62,22,Social,Campaign_B,1,0,Beauty,5,5,220.73,NetBanking,1
121,4820,2023-01-06 00:00:00,Female,42,Canada,Registered,0,Desktop,Firefox,Night,2,19,77,42,Referral,Campaign_A,0,0,Home,3,0,78.94,COD,0
122,1337,2023-01-06 01:00:00,Male,27,Germany,Registered,0,Mobile,Chrome,Morning,50,12,63,46,Ads,Campaign_C,0,0,Home,1,5,203.93,NetBanking,1
123,1878,2023-01-06 02:00:00,Female,38,Canada,Guest,1,Tablet,Safari,Morning,41,18,43,9,Social,Campaign_B,1,1,Clothing,6,5,372.58,UPI,0
124,2076,2023-01-06 03:00:00,Male,63,Germany,Registered,1,Desktop,Edge,Afternoon,45,17,37,20,Social,Campaign_A,0,1,Clothing,9,3,424.73,NetBanking,1
125,1791,2023-01-06 04:00:00,Male,56,UK,Registered,1,Desktop,Chrome,Night,39,3,59,21,Social,None,1,0,Electronics,8,1,232.75,Debit Card,0
126,4993,2023-01-06 05:00:00,Male,44,USA,Guest,1,Mobile,Edge,Morning,42,1,11,10,Direct,None,0,0,Beauty,0,6,299.27,NetBanking,0
127,3264,2023-01-06 06:00:00,Male,44,UK,Guest,1,Mobile,Edge,Evening,9,19,35,22,Social,None,0,1,Home,2,6,423.22,COD,1
128,1763,2023-01-06 07:00:00,Female,19,USA,Guest,1,Desktop,Edge,Evening,22,4,60,29,Referral,None,0,0,Sports,6,7,407.71,NetBanking,0
129,3235,2023-01-06 08:00:00,Female,58,USA,Guest,0,Desktop,Chrome,Evening,47,16,56,9,Referral,Campaign_B,0,1,Clothing,8,1,330.57,NetBanking,1
130,1379,2023-01-06 09:00:00,Male,30,Canada,Premium,0,Desktop,Chrome,Night,5,12,35,5,Ads,Campaign_B,0,0,Electronics,4,2,408.44,COD,0
131,1492,2023-01-06 10:00:00,Female,26,Australia,Registered,0,Mobile,Safari,Evening,12,13,93,40,Organic,Campaign_B,1,1,Sports,6,2,290.08,NetBanking,1
132,4112,2023-01-06 11:00:00,Male,53,UK,Premium,1,Mobile,Edge,Evening,1,17,93,11,Organic,None,0,1,Home,9,4,7.3,COD,0
133,2180,2023-01-06 12:00:00,Female,39,Germany,Guest,0,Desktop,Firefox,Morning,44,8,84,1,Direct,None,1,1,Clothing,6,3,25.43,Debit Card,1
134,3062,2023-01-06 13:00:00,Female,59,UK,Registered,0,Mobile,Safari,Morning,22,13,83,42,Social,None,0,1,Beauty,3,2,490.01,COD,1
135,4884,2023-01-06 14:00:00,Female,43,Canada,Guest,0,Mobile,Chrome,Evening,38,5,70,1,Direct,None,0,1,Clothing,4,2,76.77,Debit Card,0
136,1064,2023-01-06 15:00:00,Male,29,USA,Guest,1,Mobile,Firefox,Evening,51,18,32,39,Ads,None,0,0,Beauty,1,3,205.24,Debit Card,0
137,4928,2023-01-06 16:00:00,Female,34,Canada,Guest,1,Mobile,Chrome,Morning,19,15,46,46,Ads,Campaign_B,0,0,Electronics,7,1,467.24,COD,1
138,4910,2023-01-06 17:00:00,Female,31,India,Guest,0,Desktop,Firefox,Afternoon,16,12,50,5,Organic,Campaign_C,1,0,Electronics,0,7,101.54,NetBanking,1
139,3568,2023-01-06 18:00:00,Male,31,India,Registered,1,Desktop,Safari,Night,31,17,61,49,Ads,Campaign_A,1,1,Home,1,4,422.68,UPI,0
140,2367,2023-01-06 19:00:00,Male,51,Germany,Premium,0,Mobile,Firefox,Night,51,15,92,22,Social,Campaign_A,1,1,Beauty,2,4,410.04,COD,1
141,2152,2023-01-06 20:00:00,Female,37,Canada,Registered,0,Mobile,Safari,Morning,3,2,91,26,Referral,None,1,0,Clothing,6,4,493.23,NetBanking,0
142,3027,2023-01-06 21:00:00,Female,28,Germany,Guest,1,Desktop,Chrome,Night,23,6,58,6,Ads,Campaign_C,0,0,Electronics,5,2,144.43,Debit Card,1
143,3695,2023-01-06 22:00:00,Female,33,Germany,Guest,0,Mobile,Firefox,Morning,42,17,36,32,Direct,Campaign_C,1,1,Clothing,6,1,161.09,Credit Card,1
144,2495,2023-01-06 23:00:00,Female,48,India,Guest,1,Mobile,Edge,Morning,59,16,15,48,Social,Campaign_C,1,0,Home,4,4,451.92,UPI,1
145,4134,2023-01-07 00:00:00,Female,23,Germany,Registered,0,Tablet,Edge,Morning,18,17,83,11,Ads,Campaign_B,1,0,Beauty,3,3,120.87,NetBanking,1
146,2162,2023-01-07 01:00:00,Male,36,India,Registered,0,Mobile,Chrome,Morning,26,9,75,10,Ads,Campaign_C,0,1,Clothing,6,4,276.21,UPI,1
147,2522,2023-01-07 02:00:00,Male,54,USA,Premium,1,Tablet,Firefox,Afternoon,13,5,33,47,Social,Campaign_C,1,0,Sports,2,6,355.14,Credit Card,1
148,3640,2023-01-07 03:00:00,Male,21,Canada,Guest,0,Mobile,Edge,Evening,58,1,47,39,Ads,Campaign_B,0,0,Clothing,9,0,139.58,Credit Card,0
149,1391,2023-01-07 04:00:00,Female,64,Germany,Registered,1,Mobile,Safari,Evening,18,6,37,34,Referral,None,1,0,Books,6,1,469.51,Credit Card,0
150,2698,2023-01-07 05:00:00,Male,21,India,Registered,1,Mobile,Firefox,Afternoon,3,14,37,31,Organic,Campaign_C,0,0,Books,1,0,334.52,COD,0
151,1418,2023-01-07 06:00:00,Female,37,UK,Registered,0,Tablet,Firefox,Night,58,17,75,12,Social,None,0,0,Home,7,1,28.33,UPI,0
152,3336,2023-01-07 07:00:00,Female,27,Germany,Registered,0,Mobile,Edge,Night,23,19,70,44,Direct,None,0,0,Home,5,5,72.19,COD,1
153,1378,2023-01-07 08:00:00,Female,41,Australia,Registered,0,Mobile,Safari,Evening,3,1,55,16,Ads,None,0,0,Home,2,3,99.44,Credit Card,1
154,2796,2023-01-07 09:00:00,Male,52,USA,Registered,0,Tablet,Safari,Night,55,1,78,38,Organic,None,0,0,Sports,2,5,126.25,NetBanking,0
155,4561,2023-01-07 10:00:00,Female,43,USA,Guest,0,Mobile,Safari,Evening,25,13,84,3,Direct,Campaign_B,1,0,Beauty,4,2,366.69,Credit Card,1
156,3278,2023-01-07 11:00:00,Male,54,UK,Registered,0,Mobile,Firefox,Evening,27,14,83,2,Direct,Campaign_A,0,0,Sports,2,2,49.02,COD,1
157,4065,2023-01-07 12:00:00,Female,55,India,Guest,0,Mobile,Chrome,Afternoon,58,6,52,5,Referral,Campaign_B,0,1,Clothing,5,5,178.54,Credit Card,1
158,3088,2023-01-07 13:00:00,Male,38,Germany,Registered,0,Desktop,Firefox,Night,44,6,68,11,Organic,Campaign_B,0,0,Electronics,1,1,456.13,Credit Card,1
159,4099,2023-01-07 14:00:00,Male,57,India,Registered,1,Mobile,Firefox,Afternoon,27,1,11,25,Social,None,0,1,Beauty,7,4,280.55,COD,0
160,3182,2023-01-07 15:00:00,Female,56,USA,Registered,1,Mobile,Edge,Evening,52,14,24,35,Organic,None,0,1,Books,8,0,136.42,COD,0
